Temperature(K),L1
1.3837446620922400E+01,5.95E-26
1.0423248961982300E+02,4.49E-26
2.5528234087296000E+02,4.80E-27
4.8042385615596200E+02,6.16E-26
6.8939784164203400E+02,9.55E-26
3.4636460331574000E+03,3.02E-25
1.0812229895465400E+04,2.88E-24
2.9748567761014600E+04,7.32E-23
8.4511900890532600E+04,3.47E-22
2.8691087877920300E+05,3.49E-22
9.6644269769566100E+05,1.21E-22
3.2230865585965800E+06,6.30E-23
8.9230961959405700E+06,1.11E-22
3.5771730886788500E+07,3.72E-22
1.0862976096114200E+08,1.21E-21
6.3059190549280000E+08,9.68E-21
