Temperature(K),L1
1.3837446620922400E+01,5.95E-26
1.5046110665542300E+01,5.95E-26
1.6370949249246500E+01,5.95E-26
1.7822108782100100E+01,5.94E-26
1.9412638707902100E+01,5.93E-26
2.1155454767129200E+01,5.93E-26
2.3064160081402600E+01,5.91E-26
2.5155045798180200E+01,5.8977593643905600E-26
2.7446339819970900E+01,5.8790253850181700E-26
2.9956666656779200E+01,5.8558980334349500E-26
3.2705759333309200E+01,5.8276801682800700E-26
3.5716767324085200E+01,5.7936742503843500E-26
3.9016204729358300E+01,5.7538879020776300E-26
4.2630234415414500E+01,5.7071484373265800E-26
4.6587391760772000E+01,5.6523389036849600E-26
5.0921335736315200E+01,5.5885432699231800E-26
5.5670626041613400E+01,5.5157647935889400E-26
6.0871180978273500E+01,5.4310881929904900E-26
6.6564555665041400E+01,5.3314584345700000E-26
7.2798611599008100E+01,5.2140701802304300E-26
7.9623910415454100E+01,5.0757359004160900E-26
8.7096309777291200E+01,4.9124079226685500E-26
9.5276616538795200E+01,4.7179669179634300E-26
1.0423248961982300E+02,4.4875607248217200E-26
1.1404229937559900E+02,4.2157187597171100E-26
1.2477387858891200E+02,3.8977917187240900E-26
1.3651863486906600E+02,3.5314908209371500E-26
1.4937355345547800E+02,3.1124951600676800E-26
1.6344346138860300E+02,2.6379711426747700E-26
1.7884514308319500E+02,2.1061504751158100E-26
1.9570604652782000E+02,1.5257480559642200E-26
2.1417085381258200E+02,9.2693859521255500E-27
2.3325711987633000E+02,2.4611406745209500E-27
2.5528234087296000E+02,4.7966178084509600E-27
2.7940199599027200E+02,1.2263104295924600E-26
3.0581182815920300E+02,1.9966434835847900E-26
3.3472375655493600E+02,2.7960026562442100E-26
3.6637120158391300E+02,3.6199445690505200E-26
4.0101509027313400E+02,4.4639949335654800E-26
4.3893558979487100E+02,5.3067243724313500E-26
4.8042385615596200E+02,6.1560695197541800E-26
5.2580816717886600E+02,7.0063822777979300E-26
5.7550257297967900E+02,7.8560070121634300E-26
6.2988854676769200E+02,8.7094318884032900E-26
6.8939784164203400E+02,9.5536369221916900E-26
7.5450359776383000E+02,1.0397630636495300E-25
8.2573135288190300E+02,1.1245010457721900E-25
9.0362122944207600E+02,1.2100268700410200E-25
9.8871893382950100E+02,1.2963058017761700E-25
1.0818066182274700E+03,1.3767437526596100E-25
1.1836711664018600E+03,1.4573769967190300E-25
1.2950765812090400E+03,1.5395385378593700E-25
1.4168388741871700E+03,1.6237139172322300E-25
1.5499483279282600E+03,1.7120679859337500E-25
1.6953590639582800E+03,1.8064208076288700E-25
1.8541213710736800E+03,1.9078495405857200E-25
2.0278337028328000E+03,2.0168875415819500E-25
2.2176642058739600E+03,2.1322932248092900E-25
2.4248821307796600E+03,2.2647488453610200E-25
2.6511387836381300E+03,2.4145538394958600E-25
2.8985814378264400E+03,2.5859916272731300E-25
