Temperature(K),L1
1.1228802614280600E+01,6.32E-26
1.2218650295691400E+01,6.32E-26
1.3304454029659300E+01,6.32E-26
1.4495499804775200E+01,6.32E-26
1.5801966258509100E+01,6.31E-26
1.7235008625687100E+01,6.31E-26
1.8806853349254100E+01,6.30E-26
2.0530911768613900E+01,6.2879887104631500E-26
2.2421876543832600E+01,6.2747046339596400E-26
2.4495862858584400E+01,6.2579845720525000E-26
2.6770560496599300E+01,6.2372631870228400E-26
2.9265466677623900E+01,6.2122562403689500E-26
3.2001864010339100E+01,6.1820230271664100E-26
3.5003109174979300E+01,6.1457330592124300E-26
3.8294857269116600E+01,6.1026526751137800E-26
4.1905261506926600E+01,6.0529154575028000E-26
4.5865263477725600E+01,5.9945244825418300E-26
5.0208694990660700E+01,5.9266568259143600E-26
5.4972727904906800E+01,5.8484877012557300E-26
6.0198003628496200E+01,5.7576088526949500E-26
6.5928948983629000E+01,5.6503007063377800E-26
7.2214290887144500E+01,5.5235052807690600E-26
7.9107504004222500E+01,5.3735718215085700E-26
8.6667125998191100E+01,5.1959049765411700E-26
9.4957250753447000E+01,4.9836229385680400E-26
1.0404811433488000E+02,4.7316569234880900E-26
1.1401707108327100E+02,4.4340252941210300E-26
1.2494916203123700E+02,4.0843631475979000E-26
1.3693772800016400E+02,3.6815148671546300E-26
1.5008538343672400E+02,3.2205462743563400E-26
1.6450495202421900E+02,2.6982446513918600E-26
1.8032103523643300E+02,2.1127095792297900E-26
1.9767085964808800E+02,1.4673555167016900E-26
2.1670353899224900E+02,7.7077074623986100E-27
2.3758367207973000E+02,1.8268085828402100E-28
2.6049255184308900E+02,7.7914815346853500E-27
2.8563185890081200E+02,1.6097201682390500E-26
3.1321830094746300E+02,2.4692228365008800E-26
3.4348866954433300E+02,3.3500637075446800E-26
3.7670461063351600E+02,4.2570692503865600E-26
4.1315316197454500E+02,5.1839014388807300E-26
4.5315002169821800E+02,6.1242124465530600E-26
4.9704173366839100E+02,7.0649884598732800E-26
5.4520578566773900E+02,7.9898197163386700E-26
5.9805581356889800E+02,8.9184399119681600E-26
6.5604567973716000E+02,9.8515512139469700E-26
7.1967435631891200E+02,1.0786529676166700E-25
7.8949243108929100E+02,1.1708334586019700E-25
8.6609553518519800E+02,1.2627819744202200E-25
9.5014109133128300E+02,1.3558603081766300E-25
1.0423541413292600E+03,1.4465909166950000E-25
1.1435345991721000E+03,1.5329594960951800E-25
1.2545415306621600E+03,1.6200166122061900E-25
