Temperature(K),L1
1.3837446620922400E+01,1.10E-25
1.0433798278539000E+02,9.28E-26
2.5582362866866300E+02,4.14E-26
4.0190209689414200E+02,7.93E-28
4.8145399747646300E+02,1.64E-26
1.0834661506533300E+03,9.31E-26
3.4666304513693900E+03,2.53E-25
1.0835529851115400E+04,2.83E-24
2.7699120059797600E+04,6.95E-23
1.0314021429938400E+05,3.82E-22
3.4838120023813000E+05,2.11E-22
1.0609559910414500E+06,1.08E-22
2.9385423003680500E+06,3.41E-23
1.0739149296725900E+07,2.11E-23
3.5775602088235800E+07,1.25E-23
1.0864242661269000E+08,1.84E-23
6.3069411923199500E+08,4.83E-23
