Temperature(K),L1
1.3837446620922400E+01,1.10E-25
1.5045377962254500E+01,1.10E-25
1.6369537432067700E+01,1.10E-25
1.7820099566672500E+01,1.10E-25
1.9410151653488200E+01,1.10E-25
2.1152658316395200E+01,1.09E-25
2.3061254206367700E+01,1.09E-25
2.5152324919740600E+01,1.0888849231038600E-25
2.7444137228321000E+01,1.0859948802628200E-25
2.9955365533128600E+01,1.0826381294380300E-25
3.2705811980692000E+01,1.0787487618098000E-25
3.5718647365356200E+01,1.0742580770964300E-25
3.9020483510591900E+01,1.0691480118644500E-25
4.2637551573613100E+01,1.0633105784576500E-25
4.6598478227743500E+01,1.0566391284943800E-25
5.0936993698132400E+01,1.0490428001019300E-25
5.5691641901774400E+01,1.0405118793900500E-25
6.0898628364547600E+01,1.0307547794812000E-25
6.6599778051746600E+01,1.0194658747880000E-25
7.2843215867655200E+01,1.0063611189736500E-25
7.9679776647332800E+01,9.9112101293432200E-26
8.7165716504013500E+01,9.7334037970918700E-26
9.5362377986586800E+01,9.5239493035053600E-26
1.0433798278539000E+02,9.2781129144261900E-26
1.1417134796059700E+02,8.9904207005046900E-26
1.2493045979005900E+02,8.6560626629666000E-26
1.3670731911916400E+02,8.2729980764547400E-26
1.4959911117078300E+02,7.8368215975545800E-26
1.6371101763001800E+02,7.3449938653542900E-26
1.7915993284133100E+02,6.7960269088032900E-26
1.9607213293059000E+02,6.1970936977182000E-26
2.1459019557770700E+02,5.5843200095423900E-26
2.3373459939574800E+02,4.8860845853362500E-26
2.5582362866866300E+02,4.1435576885161000E-26
2.8000868152433700E+02,3.3786578380403900E-26
3.0648557925971000E+02,2.5918930375399500E-26
3.3546672095489000E+02,1.7767350507749900E-26
3.6718540475546100E+02,9.3768953307197900E-27
4.0190209689414200E+02,7.9307497675311600E-28
4.3989447654705500E+02,7.7904008899136600E-27
4.8145399747646300E+02,1.6411942792141800E-26
5.2691058941049600E+02,2.5029841073290600E-26
5.7667689268385000E+02,3.3634984798556200E-26
6.3113448329790900E+02,4.2280214488906900E-26
6.9071354873346900E+02,5.0807864496957300E-26
7.5588908529227400E+02,5.9314834213134700E-26
8.2718648558386400E+02,6.7841258092539100E-26
9.0514663815053500E+02,7.6427329195218200E-26
9.9031223525325900E+02,8.5070450096323600E-26
1.0834661506533300E+03,9.3084918367578500E-26
1.1853958330112700E+03,1.0110405341522000E-25
1.2968671225392200E+03,1.0924461944899000E-25
1.4186972009874200E+03,1.1755006535441000E-25
