Temperature(K),L1
1.1228671849703700E+01,5.27E-26
1.2218504127390500E+01,5.27E-26
1.3304290698891800E+01,5.27E-26
1.4495315061444200E+01,5.26E-26
1.5801755399649800E+01,5.26E-26
1.7234767733071100E+01,5.26E-26
1.8806578626304300E+01,5.25E-26
2.0530597379929400E+01,5.2433672674603400E-26
2.2421517494095100E+01,5.2335935208843300E-26
2.4495457828515700E+01,5.2210341083967800E-26
2.6770111638732300E+01,5.2052791656840400E-26
2.9264961114985700E+01,5.1856857078181500E-26
3.2001304089534400E+01,5.1615620526144100E-26
3.5002499482822800E+01,5.1325998617375600E-26
3.8294197874982800E+01,5.0983015551027400E-26
4.1904550030312700E+01,5.0576439290856300E-26
4.5864477708629900E+01,5.0097711023842500E-26
5.0207852180558600E+01,4.9537153636836800E-26
5.4971828791029500E+01,4.8900673617446500E-26
6.0197030887084800E+01,4.8153312591721100E-26
6.5927888421181100E+01,4.7271080492906700E-26
7.2213125315058800E+01,4.6226377468610200E-26
7.9106219412460500E+01,4.4989109423863700E-26
8.6665693981304200E+01,4.3519170321084000E-26
9.4955627179716900E+01,4.1759490088699800E-26
1.0404621629585000E+02,3.9657736070453300E-26
1.1401476040737300E+02,3.7164341931684200E-26
1.2494631329466500E+02,3.4227479687878600E-26
1.3693414417385300E+02,3.0823453031496900E-26
1.5008079876316600E+02,2.6908638485971800E-26
1.6449898032962200E+02,2.2451427884661200E-26
1.8031310222139700E+02,1.7429969338684400E-26
1.9766023374744300E+02,1.1871169889787400E-26
2.1668917200031800E+02,5.8152284918040000E-27
2.3756413776195600E+02,7.8067359733693500E-28
2.6046600811407800E+02,7.8466758241701600E-27
2.8559587978350100E+02,1.5312547760519200E-26
3.1316965321990800E+02,2.3189224167730400E-26
3.4342330313008800E+02,3.1445726759308300E-26
3.7661723242777500E+02,4.0193090656215500E-26
4.1303676685951100E+02,4.9454670230013300E-26
4.5299578254451100E+02,5.9306116694375300E-26
4.9683776054378600E+02,6.9813217033869700E-26
5.4422930425784500E+02,8.0821680827718600E-26
5.9623341780246600E+02,9.3032942600442000E-26
6.5346304095631500E+02,1.0674887320616900E-25
7.1541540681828100E+02,1.2236821456673500E-25
7.8277762642242300E+02,1.4058820335534500E-25
8.5596720693122300E+02,1.6226363505570300E-25
9.3550249191016900E+02,1.8880818752381800E-25
1.0220297450687700E+03,2.2155148887590400E-25
1.1163676938359600E+03,2.6198986491298000E-25
1.2195053728277200E+03,3.1339654313088500E-25
1.3326085827885200E+03,3.7848112745118500E-25
1.4570327625549100E+03,4.6239502279846900E-25
1.5942215667200500E+03,5.6912130809226800E-25
1.7457095340974000E+03,7.0610669291723300E-25
1.9130678829831000E+03,8.8109687387859600E-25
2.0978347532507600E+03,1.1024521851538500E-24
2.3015886425319100E+03,1.3840187318916500E-24
2.5258978172294800E+03,1.7389836984904500E-24
2.7723382279899700E+03,2.1822514659461000E-24
3.0425768045589600E+03,2.7340384906672100E-24
3.3384847566622700E+03,3.4131072376326000E-24
3.6620959388392700E+03,4.2342362646474300E-24
4.0157634110152900E+03,5.2151667428890700E-24
4.4022499037621700E+03,6.3664447024111900E-24
4.8249268126522500E+03,7.6830915524350800E-24
5.2877605672802100E+03,9.1570535128980500E-24
5.7954400082446200E+03,1.0760397758374400E-23
6.3533550106906100E+03,1.2453007119389200E-23
6.9675332193119000E+03,1.4193861553009300E-23
7.6442790250425000E+03,1.5944861368605300E-23
8.3894172294035000E+03,1.7693185409461800E-23
9.2085872557173400E+03,1.9479954563866700E-23
1.0115151627557600E+04,2.1159867192533000E-23
1.1134653306615700E+04,2.1555374612260200E-23
1.2250887227347200E+04,2.2058545693805500E-23
1.3467545572378700E+04,2.2979101246098100E-23
1.4786014909940700E+04,2.4782351339498900E-23
1.6207675171321200E+04,2.7920973981319400E-23
1.7760360121668600E+04,3.1743074291326800E-23
1.9488645485096500E+04,3.4478608425796500E-23
2.1385550300091300E+04,3.7506670212476800E-23
2.3459822520988300E+04,4.1160540385383500E-23
2.5720611115921100E+04,4.5909440684194000E-23
2.8181752684397700E+04,5.2087132548398700E-23
3.0862313787622000E+04,5.9912340867074800E-23
3.2432094129547900E+04,1.8481515284446100E-21
3.2724434398861400E+04,1.8653599775178200E-21
3.2732037029165500E+04,1.8650077148042200E-21
3.3626842838512200E+04,1.9378921863641900E-21
3.3786785279154800E+04,6.9417543294662900E-23
3.4100256695314100E+04,1.9565904825403800E-21
3.5060627626968600E+04,2.0613635024479200E-21
3.6978977826814000E+04,8.0847480271640700E-23
3.7124512396950700E+04,2.2210259027214700E-21
3.7458798557963200E+04,2.0915605101962200E-21
4.0222170762527200E+04,2.4912202927965400E-21
4.0466334009648000E+04,9.4469915590099700E-23
4.4282227421881000E+04,1.1047408549888800E-22
4.4321136035788200E+04,2.7730117438903200E-21
4.8465162296164800E+04,1.2922113659430800E-22
4.9979712918176000E+04,2.2647819722480500E-21
5.0349831425629000E+04,3.1114161319964000E-21
5.3039190364314800E+04,1.5272432240580100E-22
5.8006153861075100E+04,1.8617068648599900E-22
5.8517271465681700E+04,3.3055842382288500E-21
6.3302231637682500E+04,2.4553709875536100E-22
6.7352324204881900E+04,2.8787057092577000E-21
6.8622193283878500E+04,3.8703534066421100E-22
7.2835575734470500E+04,7.9864513741900700E-22
7.3055209817350000E+04,1.7717181973698400E-21
7.3213676491913100E+04,1.3864818251732600E-21
9.3668384931947300E+04,9.6789322375769000E-22
1.1558830419246500E+05,9.7553981804459400E-22
1.3928187586667300E+05,1.1208568905773400E-21
1.6455011972784200E+05,1.3321006078699800E-21
1.9131327637727100E+05,1.5889230167874200E-21
2.1986691828558300E+05,1.8678152323089200E-21
2.5053857464075500E+05,2.1083341176318200E-21
2.8407580490678000E+05,2.2197806693123600E-21
3.2101131305793800E+05,2.1893041103193700E-21
3.6109656746809700E+05,2.1358929222610400E-21
4.0592143751630300E+05,2.0063441910287000E-21
4.3477112766686600E+05,2.2522026296069500E-21
4.8743746328850200E+05,2.0852870116309800E-21
5.4471647331813000E+05,1.8009350650590600E-21
6.0747047640098700E+05,1.6232292703590500E-21
6.9377752317906500E+05,1.0810781847928300E-21
7.6155756142161400E+05,1.0617588114870800E-21
8.5059570314332500E+05,8.5802690027641100E-22
9.4328080647865100E+05,7.1074914072595100E-22
1.0505891748291400E+06,6.0843232715976200E-22
1.1704638365612600E+06,4.9648096674172100E-22
1.2686333079537300E+06,5.9030445125897900E-22
1.2706048236700100E+06,4.5479192479591700E-22
1.3131269955087900E+06,1.9532048666686700E-21
1.5486452714879800E+06,3.3776743241329700E-22
1.7256050328894600E+06,2.9725377084467500E-22
1.9128266369587100E+06,2.3899848855527300E-22
2.3283900851101800E+06,1.7880904301123200E-22
2.5804056012513600E+06,1.5223339010271800E-22
2.8167612137128700E+06,1.3615464894004300E-22
3.0116372403646200E+06,1.2887730815611700E-22
3.1244178419255500E+06,1.2983531591740200E-22
3.5015409355688000E+06,1.0540197533997000E-22
3.8938648935999800E+06,1.0721329034618700E-22
4.5269504452776200E+06,1.0260300408670600E-22
4.9052821177981800E+06,1.0295328544197100E-22
5.2556128174009700E+06,9.6854381615214000E-23
5.8292387057473900E+06,1.0424259757571700E-22
6.6953313507766800E+06,1.1714705823770400E-22
7.2715746176875900E+06,1.1113105435332300E-22
8.1119602494533200E+06,1.3429812912564300E-22
8.9181095149152300E+06,1.4345847519493000E-22
9.7997228893334900E+06,1.4914415835528200E-22
1.0776468843738600E+07,1.6415182520935100E-22
1.1833856833890600E+07,1.8017356290050000E-22
1.2919009170745200E+07,1.7206241094120800E-22
1.4224663262984200E+07,1.9233163073498400E-22
1.5625713004859700E+07,2.0393820469483800E-22
1.7147826040891700E+07,2.2184662493816800E-22
1.8863720045247100E+07,2.5540822837544000E-22
2.0704946461552200E+07,2.7282156406168300E-22
2.2719845370774600E+07,2.9746758907136400E-22
2.4929078117878600E+07,3.1658354085303400E-22
2.7348095093780100E+07,3.4393000315955900E-22
3.0000908340398400E+07,3.6546745683953600E-22
3.2931631997184300E+07,4.0257306461621500E-22
3.6141664286042200E+07,4.4379297929773800E-22
3.9653542366529900E+07,4.8458098836668200E-22
4.3512235886797600E+07,5.2590915368286700E-22
4.7735182233177600E+07,5.7580757540558800E-22
5.2366652798811000E+07,6.3031394448830700E-22
5.7473172965310300E+07,6.9239627693402000E-22
6.3048938611122200E+07,7.5994751351740400E-22
6.9178293807321000E+07,8.3826978348220000E-22
7.5897728398441900E+07,9.2449355248264300E-22
8.3264377517102500E+07,1.0202556643877500E-21
9.1344183973556400E+07,1.1270087555017400E-21
1.0020668364471500E+08,1.2468961894574800E-21
1.0992451480577500E+08,1.3798631734048800E-21
1.2057466330004300E+08,1.5267371122675300E-21
1.3222631815625900E+08,1.6917188120039700E-21
1.4482810648592900E+08,1.8737677031330200E-21
1.5888204038151200E+08,2.0813889202708700E-21
1.7460383697060700E+08,2.3191408847643000E-21
1.9164237970208900E+08,2.5822246166390900E-21
2.1027726588511400E+08,2.8769669943284300E-21
2.3070115667382200E+08,3.2070219457745400E-21
2.5309848870564200E+08,3.5776683657040700E-21
2.7766381946392900E+08,3.9937052994988400E-21
3.0460713079452000E+08,4.4609343360936100E-21
3.3415960674430700E+08,4.9854442060504700E-21
3.6656733791513700E+08,5.5736243462265900E-21
4.0207314327333600E+08,6.2340613544207300E-21
4.4082305163837300E+08,6.9778089665796100E-21
4.8396855821456900E+08,7.8436892828148900E-21
5.3103401695277100E+08,8.8309484228942400E-21
