Temperature(K),L1
1.1228489887197700E+01,6.33E-26
8.6664296908912700E+01,5.22E-26
2.1666008287199500E+02,5.33E-27
5.8343623217854700E+02,1.43E-25
2.8651281907578400E+03,1.56E-24
1.0322524633872200E+04,9.72E-24
4.3647531467990500E+04,4.25E-21
6.1747853360280000E+04,9.22E-21
1.0073328928135200E+05,5.65E-22
2.3586536256698200E+05,2.08E-21
5.5698778866069000E+05,1.59E-21
1.6097206134138700E+06,3.36E-22
4.6845359474459600E+06,1.28E-22
3.2048574373843300E+07,3.96E-22
8.9222212347913900E+07,1.13E-21
5.6903196813075500E+08,9.78E-21
