Temperature(K),Lambda_th[erg*cm**3/s]
1.0000000101073900E+01,3.30E-29
1.9116450970603200E+01,1.31E-28
2.7682877135925400E+01,2.39E-28
3.6543857388759400E+01,3.48E-28
8.4067097358164600E+01,7.97E-28
2.8005316271729800E+02,2.94E-27
7.7526999788242400E+02,7.60E-27
1.4820462781774800E+03,1.19E-26
2.8331582653215200E+03,1.74E-26
8.6528179669980800E+03,3.20E-26
1.0806039337929000E+04,1.93E-25
1.3255915306791900E+04,3.33E-24
1.5814358096291500E+04,7.09E-23
2.7024626625124500E+04,7.09E-23
5.4554946120888000E+04,6.54E-23
1.6583052251984800E+05,3.55E-22
5.5427730664230400E+05,1.13E-22
1.6831814685312000E+06,1.13E-22
5.6071699382054500E+06,3.19E-23
1.7027691722259000E+07,1.75E-23
5.6724260684919700E+07,1.17E-23
1.7225859653987800E+08,1.58E-23
5.7384416483024000E+08,2.51E-23
1.0000000000000000E+09,3.25E-23
