Temperature(K),Lambda_th[erg*cm**3/s]
9.99999999999999000,2.66E-26
15.88565129428050000,3.20E-26
27.68286630392060000,4.00E-26
40.08806328898460000,4.64E-26
84.06652885618320000,6.24E-26
280.05038941836300000,1.01E-25
775.25974886294600000,1.52E-25
1482.02070579885000000,1.96E-25
2833.09610183932000000,2.50E-25
7842.82206133768000000,3.59E-25
11357.33358343100000000,5.19E-25
14992.68432786040000000,5.26E-24
21711.17945694500000000,2.28E-23
28660.67616948250000000,4.04E-23
54789.01179593940000000,2.18E-22
166381.68860761200000000,3.94E-21
554266.45206631000000000,2.09E-20
1683180.35333095000000000,3.76E-20
5607169.93820545000000000,3.77E-20
17027691.72225900000000000,3.01E-20
51709202.42896750000000000,2.23E-20
98849590.46625580000000000,1.80E-20
361234269.97094300000000000,1.12E-20
1000000000.00000000000000000,7.59E-21
