Temperature(K),Lambda_th[erg*cm**3/s]
3287792.94893421000000000,2.01E-20
10310996.56847950000000000,1.94E-20
1916683.34156657000000000,1.76E-20
35583860.58436030000000000,1.48E-20
496648614.44479600000000000,1.36E-20
406874330.22311700000000000,1.11E-20
208926255.79288700000000000,1.02E-20
339304710.55825400000000000,9.95E-21
880488.35749232000000000,4.00E-22
666991.96544333300000000,3.26E-22
77345.23249888260000000,3.15E-22
492544.31532335700000000,1.64E-22
25477.16895444590000000,3.83E-23
13343.63964931050000000,9.08E-24
11096.83044788690000000,7.93E-24
10120.73919373310000000,7.82E-24
8421.25356086825000000,6.20E-24
7011.17452285577000000,4.83E-24
4072.21879778100000000,2.12E-24
3725.45562953533000000,1.83E-24
1750.88638202989000000,3.99E-25
1622.49185339414000000,3.31E-25
1401.54872697950000000,2.26E-25
6.34615384615384000,9.77E-26
10.08127870598570000,9.77E-26
12.13158740148610000,9.77E-26
17.56797284671880000,9.76E-26
25.44050170262480000,9.75E-26
53.34991254334700000,9.71E-26
178.20342506677400000,9.48E-26
935.65950334618300000,5.40E-26
541.67812966211800000,4.71E-26
