Temperature(K),Lambda_th[erg*cm**3/s]
1.0018678756521800E+01,1.09E-25
1.9157710370879400E+01,1.07E-25
3.6634780470588900E+01,1.01E-25
8.4323184765760800E+01,7.55E-26
2.8106043374215200E+02,2.06E-26
7.7845804941279600E+02,1.11E-25
1.4884707388498500E+03,1.85E-25
2.8450574356123400E+03,3.72E-25
3.7552127668727900E+03,5.57E-25
1.5796743363817400E+04,7.78E-23
2.7279873350692400E+04,6.98E-23
5.4454592689453300E+04,1.74E-22
1.6586727603555400E+05,3.81E-22
5.5426110821603200E+05,1.41E-22
1.6831793215871500E+06,8.60E-23
5.6071694477112100E+06,2.18E-23
1.7027691339245400E+07,1.46E-23
5.6724260334452000E+07,1.41E-23
1.7225859621437000E+08,2.23E-23
5.7384416454446500E+08,4.43E-23
9.9999999973329200E+08,6.83E-23
