Temperature(K),Lambda_th[erg*cm**3/s]
1.0018678756521800E+01,1.1040554517480800E-25
1.0990500714566000E+01,1.1031852720227600E-25
1.2056876391307000E+01,1.1022380322778400E-25
1.3226758431822100E+01,1.1011994215437100E-25
1.4510267213933200E+01,1.1000525889876500E-25
1.5918190805953300E+01,1.0987755690935300E-25
1.7462741871206900E+01,1.0973190213826300E-25
1.9157710370879400E+01,1.0956453873956000E-25
2.1017480858681700E+01,1.0936915312501200E-25
2.3056031861862900E+01,1.0914000795818400E-25
2.5293000139630000E+01,1.0887136630879900E-25
2.7748253768134000E+01,1.0855942274217900E-25
3.0441372187015700E+01,1.0819639946539100E-25
3.3394122045676300E+01,1.0777516684803600E-25
3.6634780470588900E+01,1.0728784408169000E-25
4.0191962431736800E+01,1.0672656765707700E-25
4.4091660092361600E+01,1.0608699834661000E-25
4.8368488762400700E+01,1.0535757072835400E-25
5.3063033497355500E+01,1.0452928651083700E-25
5.8215974339161400E+01,1.0358436006991900E-25
6.3866148534565600E+01,1.0249523849833100E-25
7.0064436156798800E+01,1.0122861328414400E-25
7.6864121119897700E+01,9.9751483265010900E-26
8.4323184765760800E+01,9.8022799511161300E-26
9.2500410256812700E+01,9.5988492787068000E-26
1.0147513347916400E+02,9.3582590214304700E-26
1.1132929785780900E+02,9.0751927096617400E-26
1.2213836511276900E+02,8.7450444668707600E-26
1.3399350158353300E+02,8.3633116198159300E-26
1.4699796081537000E+02,7.9258195662235900E-26
1.6126289634978500E+02,7.4296464544977000E-26
1.7691274649194700E+02,6.8755624579782300E-26
1.9499694575301100E+02,6.2359777481095800E-26
2.1391253941233600E+02,5.6080426874673700E-26
2.3353878961795200E+02,4.8927054697840600E-26
2.5619873614565200E+02,4.1317892984499900E-26
2.8106043374215200E+02,3.3451228941385200E-26
3.0833812057612600E+02,2.5369748583369700E-26
3.3826070226913400E+02,1.7004265452253300E-26
3.7108799687861000E+02,8.4001411016024900E-27
4.0711742741438000E+02,3.9314849146577400E-28
4.4665298979938100E+02,9.3038062669583900E-27
4.8997644559196000E+02,1.8132231422862600E-26
5.3748684639927000E+02,2.6916625610387700E-26
5.8963329191320900E+02,3.5718024234421400E-26
6.4684855473770800E+02,4.4562393725676400E-26
7.0959878305518400E+02,5.3434811170278500E-26
7.7845804941279600E+02,6.2121894617376700E-26
8.5407635253450200E+02,7.0867254525642600E-26
9.3698514491216200E+02,7.9705435630420100E-26
1.0277695882866000E+03,8.8419473930504500E-26
1.1274178254026600E+03,9.6657216937002500E-26
1.2367979669364100E+03,1.0493973752812700E-25
1.3567875404064700E+03,1.1338414395523400E-25
1.4884707388498500E+03,1.2215662599337200E-25
1.6330522483685700E+03,1.3141160560149800E-25
1.7912022750226800E+03,1.4126702632039800E-25
1.9648236397528200E+03,1.5201409638240200E-25
2.1555361740808000E+03,1.6337685485239700E-25
2.3647371935477000E+03,1.7605589802590500E-25
2.5936630012498200E+03,1.9041816074039600E-25
2.8450574356123400E+03,2.0683511953976100E-25
3.1212196469840000E+03,2.2642628113703700E-25
3.4238492993110400E+03,2.4974817729213000E-25
3.7552127668727900E+03,2.7721695880671500E-25
4.1373110271968600E+03,3.1147426910813200E-25
4.5171623808905000E+03,3.4821323604230700E-25
4.9548379467507600E+03,3.9484980399280000E-25
5.4342559283368700E+03,4.5178192011218400E-25
5.9607400819751700E+03,5.2186759777281100E-25
6.5393797562607400E+03,6.0999035621925700E-25
7.1720107647367700E+03,7.2323532123672400E-25
7.8665416254364300E+03,8.8184206426419400E-25
8.6291604628515300E+03,1.1187657931758400E-24
9.4649704927672000E+03,1.5107230463543700E-24
1.0380395377092100E+04,2.2560747356855700E-24
1.1398110634219500E+04,3.8482921941050200E-24
