Temperature(K),Lambda[erg*cm**3/s]
1.0000000101073900E+01,3.0304844897844900E-29
1.0969863574203500E+01,3.8410159184087800E-29
1.2033787116857000E+01,4.7993914525443900E-29
1.3200892717773100E+01,5.9234963685997700E-29
1.4481185941862200E+01,7.2326837554269300E-29
1.5885662054503900E+01,8.7476486311580400E-29
1.7426346839004400E+01,1.0467755958528600E-28
1.9116450970603200E+01,1.2427504734597200E-28
2.0970470898127400E+01,1.4646203142956200E-28
2.3004317748989700E+01,1.7138654620710200E-28
2.5235410436422400E+01,1.9916411730784500E-28
2.7682877135925400E+01,2.2948504441477800E-28
3.0367724854698200E+01,2.6256678043983300E-28
3.3312972386423200E+01,2.9849718047055700E-28
3.6543857388759400E+01,3.3725255015109900E-28
4.0088074530287100E+01,3.7879368020229200E-28
4.3976061963895700E+01,4.2263095582242300E-28
4.8242791358739600E+01,4.6908714493891500E-28
5.2923014983685900E+01,5.1847981128757000E-28
5.8055891608756600E+01,5.6686777007795400E-28
6.3684009878089500E+01,6.1028996538570400E-28
6.9859393769769800E+01,6.6388664539713700E-28
7.6634675355482600E+01,7.2139800457609500E-28
8.4067097358164600E+01,7.8382196332802300E-28
9.2220417404894500E+01,8.5215694397955400E-28
1.0116449015977900E+02,9.2758360542028300E-28
1.1097600935558400E+02,1.0118577157615800E-27
1.2173916021434100E+02,1.1067942441620900E-27
1.3354616653021100E+02,1.2136404416224900E-27
1.4649827238181200E+02,1.3352756783977300E-27
1.6070653373182900E+02,1.4767221403690800E-27
1.7629285932493900E+02,1.6503954618727500E-27
1.9339082145585200E+02,1.8475128685387400E-27
2.1214699002104900E+02,2.0684299480832200E-27
2.3272228320130200E+02,2.3127718603784800E-27
2.5529318384422800E+02,2.5791222466469400E-27
2.8005316271729800E+02,2.8653632838686300E-27
3.0721443741838800E+02,3.1713979809913400E-27
3.3700988736375000E+02,3.5004691571650400E-27
3.6969506646761200E+02,3.8527004568518700E-27
4.0555027206014500E+02,4.2285321816405100E-27
4.4488312873786300E+02,4.6288192423044100E-27
4.8803099952496100E+02,5.0509556514905200E-27
5.3536342949892300E+02,5.4974894168467100E-27
5.8728608214716200E+02,5.9681185489271500E-27
6.4424423202500600E+02,6.4624325497731300E-27
7.0672706581026100E+02,6.9795377652519500E-27
7.7526999788242400E+02,7.5141601688107700E-27
8.5046082867199800E+02,8.0709828017916800E-27
9.3294403260779200E+02,8.6498124633593500E-27
1.0234269848077600E+03,9.2504998696730200E-27
1.1226850333972700E+03,9.8729574432694200E-27
1.2315701846312700E+03,1.0511560449347000E-26
1.3510158120834000E+03,1.1168195987849200E-26
1.4820462781774800E+03,1.1848667928018400E-26
1.6257847608116600E+03,1.2554856546414400E-26
1.7834638844170900E+03,1.3284575606136600E-26
1.9564350635750100E+03,1.4034140289224300E-26
2.1461823905964300E+03,1.4828834364981100E-26
2.3543336083801300E+03,1.5658347248730900E-26
2.5826735328214700E+03,1.6518866395214400E-26
2.8331582653215200E+03,1.7410915657648700E-26
3.1079367968283000E+03,1.8319252171002900E-26
3.4093646853420000E+03,1.9247478843302800E-26
3.7400275352550700E+03,2.0209944044314500E-26
4.1027597015761900E+03,2.1213081108616700E-26
4.5006721952036100E+03,2.2259983971883400E-26
4.9371797498902000E+03,2.3353412267339100E-26
5.4160294476818200E+03,2.4487508604480400E-26
5.9413960486890400E+03,2.5628454170047400E-26
6.5182023383007000E+03,2.6730808398974700E-26
7.1522800149973800E+03,2.7773152667396900E-26
7.8497568763170600E+03,2.8923030198625800E-26
8.6528179669980800E+03,3.0995132002011900E-26
9.6556506162994700E+03,3.9836567105164500E-26
1.0806039337929000E+04,1.1583745278418900E-25
1.2117713293323900E+04,8.8428230251015100E-25
1.3255915306791900E+04,4.6598002180950300E-24
1.4177658410358200E+04,1.4788339194328300E-23
1.5050771514928000E+04,2.8368557123095600E-23
1.5814358096291500E+04,4.8711668538264000E-23
1.6879916672727700E+04,6.3290620176073500E-23
1.7970694409270000E+04,7.7028677592250900E-23
1.9639115795357300E+04,7.6788921098717000E-23
2.1923259936562200E+04,6.9879057652017300E-23
2.4356379601900700E+04,6.4779353205547700E-23
2.7024626625124500E+04,6.4092324295870700E-23
2.9869568654565600E+04,6.7088856979030900E-23
3.3089112605288900E+04,7.3179760539578300E-23
3.6851471219639300E+04,8.2839362611872600E-23
4.0829051935960300E+04,9.5870773837635800E-23
4.5121406861083100E+04,1.1314649922322000E-22
4.9681113797435500E+04,1.3556950281515100E-22
5.4554946120888000E+04,1.6340266798911100E-22
5.9826640163416700E+04,1.9784512980292000E-22
6.5396566355671800E+04,2.3804269011627300E-22
7.1338954139973000E+04,2.8312991497811500E-22
7.7698435988912800E+04,3.2421528503221700E-22
8.4729834755130400E+04,3.5892473745554400E-22
9.2684787791534400E+04,3.8697014054662100E-22
1.0182734730561900E+05,4.0510526570985200E-22
1.1225656785695700E+05,4.0569792724319400E-22
1.2398472109851400E+05,3.9024268190033600E-22
1.3685450083093200E+05,3.8257026778857500E-22
1.5075843171482400E+05,3.8439623697691300E-22
1.6583052251984800E+05,3.9046641118760800E-22
1.8220522571656100E+05,3.9602225874463200E-22
2.0003031131646900E+05,3.9898967228833800E-22
2.1953514968792200E+05,4.0309174036762200E-22
2.4086365065307000E+05,3.9623808408149300E-22
2.6423593472319300E+05,3.6185073488094300E-22
2.8988113503012200E+05,3.0129808146492700E-22
3.1802590500754100E+05,2.3085809692238200E-22
3.4886161706632000E+05,1.8254987595125100E-22
3.8274712313705700E+05,1.5868915367027300E-22
4.1989363254681300E+05,1.4722475249839900E-22
4.6060986326807500E+05,1.4206653338903100E-22
5.0527709961273800E+05,1.3875999338073900E-22
5.5427730664230400E+05,1.3298026644927200E-22
6.0803159248706100E+05,1.2447406871292900E-22
6.6700003914566800E+05,1.1755514272107300E-22
7.3168743610852100E+05,1.1383038779252700E-22
8.0264832539237300E+05,1.1373133076365500E-22
8.8049354536678000E+05,1.1556348812398500E-22
9.6588706358190300E+05,1.1569504350891800E-22
1.0595634823115700E+06,1.1345658439839300E-22
1.1623260114479000E+06,1.0932427191549400E-22
1.2750547770883500E+06,1.0398427782928700E-22
1.3987154269311100E+06,9.7408391170547800E-23
1.5343706109299200E+06,8.9422020188166500E-23
1.6831814685312000E+06,7.9504836994796600E-23
1.8464250322580600E+06,6.8464908826407200E-23
2.0255021232677400E+06,5.7553192515165300E-23
2.2219474080543000E+06,4.8151953041360600E-23
2.4374471162133100E+06,4.1159383291410600E-23
2.6738458017090400E+06,3.5642534472472100E-23
2.9331707999026200E+06,3.1096446379519500E-23
3.2176465709865100E+06,2.7306497397983500E-23
3.5297120074408100E+06,2.4338096932048500E-23
3.8720400800264400E+06,2.2180513468735500E-23
4.2475715525369000E+06,2.0695966192218900E-23
4.6595256686646700E+06,1.9679822534154100E-23
5.1114334834401600E+06,1.8990023225053400E-23
5.6071699382054500E+06,1.8552761177449800E-23
6.1509857885805000E+06,1.8086501223405600E-23
6.7475440531107000E+06,1.7765254001063900E-23
7.4019599969156300E+06,1.7603097771941500E-23
8.1198449931840000E+06,1.7621787722620700E-23
8.9073546386104400E+06,1.7862827856705000E-23
9.7712415353465000E+06,1.7763089340412400E-23
1.0718913192051200E+07,1.7614982833593100E-23
1.1758495540521500E+07,1.7261582518277600E-23
1.2898902612533000E+07,1.6705162491114800E-23
1.4149912974345700E+07,1.6069386159813500E-23
1.5522253574270400E+07,1.5144192874033600E-23
1.7027691722259000E+07,1.4183615621358200E-23
1.8679135990207800E+07,1.3369516736348300E-23
2.0490746898158400E+07,1.2745398787740100E-23
2.2478058335487200E+07,1.2285929827738100E-23
2.4658110758226000E+07,1.1988832013069200E-23
2.7049597304631300E+07,1.1826583310843900E-23
2.9673024081888700E+07,1.1772905678858200E-23
3.2550885998350500E+07,1.1819706563665800E-23
3.5707859649004600E+07,1.1966343371325400E-23
3.9171014908092600E+07,1.2182196070791700E-23
4.2970047043208400E+07,1.2454055281484300E-23
4.7137531341167300E+07,1.2772668999707500E-23
5.1709202428967500E+07,1.3131546717977300E-23
5.6724260684919700E+07,1.3528115445190900E-23
6.2225708367302300E+07,1.3990944858151600E-23
6.8260718342723900E+07,1.4475417421320300E-23
7.4881038575900300E+07,1.4976159397331900E-23
8.2143435849194200E+07,1.5488557983155600E-23
9.0110182516650200E+07,1.6008740439501200E-23
9.8849590466255800E+07,1.6530817356726400E-23
1.0843659686896000E+08,1.7104622707180500E-23
1.1895340673703200E+08,1.7697361963957100E-23
1.3049019780144000E+08,1.8305207021512300E-23
1.4314589375234800E+08,1.8931307964048000E-23
1.5702901247293700E+08,1.9576204037133100E-23
1.7225859653987800E+08,2.0283656773354300E-23
1.8896523396912100E+08,2.1013219365322600E-23
2.0729217795953600E+08,2.1789796114507000E-23
2.2739657523579300E+08,2.2635406625387700E-23
2.4945081352303100E+08,2.3522760133768700E-23
2.7364399970746600E+08,2.4452194862418300E-23
3.0018358135755900E+08,2.5427167250610300E-23
3.2929712550971400E+08,2.6490217188080800E-23
3.6123426997094300E+08,2.7661274444915000E-23
3.9626886387014700E+08,2.8892505073368800E-23
4.3470131581250100E+08,3.0184699744326300E-23
4.7686116977144700E+08,3.1541546999387900E-23
5.2310993080562500E+08,3.2965734770475300E-23
5.7384416483024000E+08,3.4487067250387900E-23
6.2949889902218800E+08,3.6185231471089400E-23
6.9055135201623100E+08,3.7978072582856300E-23
7.5752502587719200E+08,3.9872236430061100E-23
8.3099419493534200E+08,4.1875038437092700E-23
9.1158882997508400E+08,4.3994897531132500E-23
1.0000000000000000E+09,4.6241498068163100E-23
