Temperature(K),Lambda[erg*cm**3/s]
9.99999999999999000,2.6644687806318400E-26
10.96985797892380000,2.7646854115897300E-26
12.03377840777580000,2.8687327781821400E-26
13.20088400831410000,2.9768394058257700E-26
14.48118227674530000,3.0890395071992800E-26
15.88565129428050000,3.2055301204466700E-26
17.42633386009650000,3.3265720821976700E-26
19.11644075385700000,3.4522017415448800E-26
20.97046401323230000,3.5826151566829400E-26
23.00430119772910000,3.7181525156622800E-26
25.23539170434760000,3.8588057442017500E-26
27.68286630392060000,4.0047124680436600E-26
30.36771118035450000,4.1562926275213500E-26
33.31294787934670000,4.3135121612799000E-26
36.54383070957250000,4.4765475877327900E-26
40.08806328898460000,4.6458392324001100E-26
43.97603609302720000,4.8212938623130200E-26
48.24108704165360000,5.0031307999091600E-26
52.91978735958440000,5.1918530161637200E-26
58.05225516094890000,5.3870218003412200E-26
63.68249944718580000,5.5883668898045200E-26
69.85879746785250000,5.7980773474193600E-26
76.63410868007450000,6.0155014028272900E-26
84.06652885618320000,6.2409186776046800E-26
92.21978823334320000,6.4749405133154900E-26
101.16379797662000000,6.7178152049711900E-26
110.97524964120700000,6.9698904266996000E-26
121.73827277396600000,7.2318819268527500E-26
133.54515629298900000,7.5041170004889400E-26
146.49713983072800000,7.7870470889687900E-26
160.70528182616300000,8.0817574607764900E-26
176.29141180959400000,8.3899173731315300E-26
193.38917504552300000,8.7106342140439400E-26
212.14517849106200000,9.0444702103546500E-26
232.72024789604000000,9.3917494051592600E-26
255.29080682395100000,9.7523707832083300E-26
280.05038941836300000,1.0126613588237200E-25
307.21129988617500000,1.0514943448581400E-25
337.00643292719200000,1.0917736493468200E-25
369.69127071950200000,1.1335512689874600E-25
405.54607358408200000,1.1768921692375500E-25
444.87828311275800000,1.2218011111573700E-25
488.02515836544300000,1.2682971920868900E-25
535.35666774107200000,1.3164829823241000E-25
587.27866131894800000,1.3663430971140800E-25
644.23635087213600000,1.4179180504522400E-25
706.71812739274900000,1.4712866517591900E-25
775.25974886294600000,1.5263690078366600E-25
850.44893418026700000,1.5832584387010300E-25
932.93040262846800000,1.6420582412033500E-25
1023.41140210545000000,1.7027361283333300E-25
1122.66777351081000000,1.7653283511307200E-25
1231.55060329282000000,1.8298862863880100E-25
1350.99352119802000000,1.8963971778642900E-25
1482.02070579885000000,1.9649603294907200E-25
1625.75566644379000000,2.0357089647826000E-25
1783.43087693190000000,2.1085922328942700E-25
1956.39834351706000000,2.1835939960940300E-25
2146.14119785840000000,2.2611063861351900E-25
2354.28641432241000000,2.3409957849066700E-25
2582.61876068267000000,2.4232342572007500E-25
2833.09610183932000000,2.5079279112156900E-25
3107.86618778201000000,2.5948967814332400E-25
3409.28506974681000000,2.6841846470903100E-25
3739.93730247879000000,2.7760440516775200E-25
4102.65810582719000000,2.8705496522420500E-25
4500.55767570049000000,2.9677255373142700E-25
4937.04785283900000000,3.0676825754626100E-25
5415.87137807947000000,3.1703672147370500E-25
5941.13398496503000000,3.2753711958807800E-25
6517.33960488242000000,3.3822232956733900E-25
7149.42898659757000000,3.4906616384727600E-25
7842.82206133768000000,3.6023544831994500E-25
8603.46441668450000000,3.7242710505497500E-25
9437.87827777538000000,3.8869044862840900E-25
10353.21843295660000000,4.2184733698754400E-25
11357.33358343100000000,5.2229120806947000E-25
12458.83364295000000000,9.3314833454822300E-25
13667.16356462000000000,2.2400823953737000E-24
14992.68432786040000000,5.3644690826424700E-24
16446.76177994660000000,1.0472043763822000E-23
18041.86409392070000000,1.5772501874464700E-23
19791.66867853550000000,1.9578534910738400E-23
21711.17945694500000000,2.3233753798928300E-23
