Temperature(K),Lambda[erg*cm**3/s]
6.34615384615384000,9.9792112536429100E-26
6.96164064047089000,9.9789145684725600E-26
7.63682091262700000,9.9785415042764900E-26
8.37748408219938000,9.9780724575648400E-26
9.18998106024223000,9.9774827964213600E-26
10.08127870598570000,9.9767415724706600E-26
11.05901956506120000,9.9758098941944200E-26
12.13158740148610000,9.9747159868194400E-26
13.30817908532050000,9.9734333328811800E-26
14.59888345240500000,9.9719400230840100E-26
16.01476781237440000,9.9702128005491100E-26
17.56797284671880000,9.9682428302368900E-26
19.27181671060960000,9.9660100898044200E-26
21.14090923112380000,9.9634840905830900E-26
23.19127718107490000,9.9606486323271600E-26
25.44050170262480000,9.9574911079653100E-26
27.90786905903640000,9.9540274774125000E-26
30.61453600720330000,9.9502701627447500E-26
33.58371120896700000,9.9461911345617600E-26
36.84085423675610000,9.9417918024710700E-26
40.41389387994480000,9.9370738638295500E-26
44.33346762382940000,9.9320611537863000E-26
48.63318435466270000,9.9267648951025300E-26
53.34991254334700000,9.9211044482952200E-26
58.52409637885240000,9.9156168433650100E-26
64.20010256208610000,9.9103954357448600E-26
70.42660073384300000,9.9039191224316100E-26
77.25698079886310000,9.8967174014502000E-26
84.74981072439740000,9.8884863101889400E-26
92.96933873873150000,9.8788431420057200E-26
101.98604423583400000,9.8671767982584800E-26
111.87724210993500000,9.8527427527808500E-26
122.72774570196600000,9.8344175015541900E-26
134.63059404240500000,9.8106563411867300E-26
147.68784962633300000,9.7794807058741500E-26
162.01147356135300000,9.7379986774555300E-26
178.20342506677400000,9.6797025179769400E-26
195.96292375810400000,9.6023498389838400E-26
215.81670100035200000,9.4984114738199200E-26
238.15273686261400000,9.3582421861154800E-26
263.42770215600700000,9.1685105489408800E-26
291.52094957417300000,8.9170781654082300E-26
323.62137967296200000,8.5754759305566300E-26
359.82386336066800000,8.1196091306689800E-26
399.56163809989200000,7.5331820907900300E-26
443.59709830522600000,6.7794275121065000E-26
491.18815563044200000,5.8454145828870200E-26
541.67812966211800000,4.7234175121446900E-26
594.29930493709100000,3.4113549987430500E-26
648.36028039344600000,1.9288841502227900E-26
703.41093817983100000,2.7634402086866100E-27
759.32854384899000000,1.5320944032274200E-26
816.31883898833800000,3.5070949181908800E-26
874.86454788909000000,5.6681614089880700E-26
935.65950334618300000,8.0457245881050200E-26
999.55134918592400000,1.0682556766561900E-25
1067.49931020948000000,1.3630731301476700E-25
1140.54498050190000000,1.6957061239190600E-25
1219.79244000640000000,2.0737857368945400E-25
1306.39518655293000000,2.5062329306641900E-25
1401.54872697950000000,3.0031026853189900E-25
1506.48836718733000000,3.5755025429406600E-25
1622.49185339414000000,4.2356719749997000E-25
1750.88638202989000000,4.9967520637429300E-25
1893.05934694379000000,5.8755269294345000E-25
2050.47207867837000000,6.8896299364328200E-25
2224.67590906013000000,8.0532192741104000E-25
2417.32995011840000000,9.3893100913154600E-25
2630.22017175746000000,1.0920697994149500E-24
2865.27952478683000000,1.2666024945874100E-24
