Temperature(K),Lambda_th[erg*cm**3/s]
10.000000101073988,3.0304844897844904e-29
10.969863574203536,3.841015918408786e-29
12.03378711685707,4.799391452544396e-29
13.20089271777319,5.923496368599771e-29
14.481185941862277,7.232683755426938e-29
15.88566205450391,8.747648631158044e-29
17.426346839004427,1.0467755958528688e-28
19.116450970603292,1.242750473459721e-28
20.9704708981274,1.4646203142956265e-28
23.00431774898979,1.7138654620710244e-28
25.23541043642245,1.9916411730784598e-28
27.68287713592541,2.2948504441477853e-28
30.367724854698267,2.6256678043983367e-28
33.31297238642322,2.984971804705579e-28
36.54385738875941,3.3725255015109966e-28
40.0880745302871,3.78793680202292e-28
43.97606196389575,4.226309558224231e-28
48.24279135873966,4.690871449389153e-28
52.92301498368592,5.184798112875708e-28
58.05589160875661,5.668677700779543e-28
63.68400987808957,6.102899653857046e-28
69.85939376976988,6.638866453971376e-28
76.63467535548266,7.213980045760957e-28
84.06709735816462,7.838219633280233e-28
92.22041740489456,8.52156943979554e-28
101.16449015977963,9.275836054202832e-28
110.97600935558442,1.0118577157615816e-27
121.73916021434127,1.1067942441620917e-27
133.5461665302115,1.2136404416224901e-27
146.49827238181282,1.3352756783977394e-27
160.7065337318293,1.4767221403690898e-27
176.29285932493931,1.6503954618727516e-27
193.39082145585215,1.8475128685387495e-27
212.14699002104953,2.0684299480832272e-27
232.7222832013021,2.3127718603784863e-27
255.29318384422882,2.579122246646945e-27
280.0531627172988,2.8653632838686396e-27
307.2144374183889,3.1713979809913424e-27
337.0098873637507,3.500469157165043e-27
369.6950664676128,3.852700456851874e-27
405.5502720601452,4.228532181640512e-27
444.88312873786316,4.628819242304416e-27
488.0309995249612,5.0509556514905275e-27
535.3634294989231,5.4974894168467136e-27
587.2860821471621,5.9681185489271506e-27
644.2442320250068,6.462432549773135e-27
706.7270658102611,6.97953776525195e-27
775.2699978824245,7.51416016881077e-27
850.4608286719986,8.070982801791686e-27
932.9440326077927,8.649812463359355e-27
1023.4269848077605,9.250499869673026e-27
1122.685033397279,9.872957443269428e-27
1231.5701846312797,1.0511560449347029e-26
1351.0158120834049,1.1168195987849243e-26
1482.0462781774806,1.1848667928018446e-26
1625.7847608116629,1.2554856546414437e-26
1783.4638844170995,1.3284575606136672e-26
1956.4350635750102,1.403414028922431e-26
2146.1823905964325,1.4828834364981192e-26
2354.3336083801346,1.5658347248730997e-26
2582.6735328214704,1.6518866395214486e-26
2833.1582653215246,1.741091565764877e-26
3107.9367968283045,1.8319252171002937e-26
3409.3646853420064,1.924747884330283e-26
3740.027535255078,2.020994404431454e-26
4102.759701576198,2.1213081108616704e-26
4500.672195203616,2.2259983971883419e-26
4937.179749890206,2.335341226733918e-26
5416.029447681824,2.4487508604480424e-26
5941.396048689046,2.5628454170047488e-26
6518.202338300702,2.6730808398974793e-26
7152.280014997389,2.777315266739699e-26
7849.756876317062,2.892303019862588e-26
8652.81796699808,3.099513200201196e-26
9655.65061629947,3.9836567105164563e-26
10806.03933792908,1.1583745278418935e-25
12117.713293323974,8.842823025101517e-25
13255.915306791949,4.6598002180950386e-24
14177.65841035829,1.4788339194328382e-23
15050.771514928016,2.836855712309567e-23
15814.3580962915,4.8711668538264057e-23
16879.91667272771,6.329062017607357e-23
17970.69440927007,7.702867759225095e-23
19639.115795357382,7.678892109871701e-23
21923.25993656225,6.987905765201736e-23
24356.37960190079,6.477935320554778e-23
27024.62662512457,6.409232429587079e-23
29869.568654565624,6.70888569790309e-23
33089.11260528893,7.317976053957831e-23
36851.471219639374,8.283936261187265e-23
40829.05193596031,9.587077383763587e-23
45121.40686108313,1.1314649922322081e-22
49681.11379743557,1.3556950281515103e-22
54554.94612088801,1.6340266798911186e-22
59826.64016341674,1.9784512980292098e-22
65396.56635567189,2.3804269011627357e-22
