Temperature(K),Lambda_th[erg*cm**3/s]
10.0,2.6645910357442064e-26
10.969857978923837,2.765000804050649e-26
12.03377840777589,2.869449973876408e-26
13.200884008314182,2.9783068472179955e-26
14.481182276745336,3.091811424088057e-26
15.885651294280526,3.21045547857221e-26
17.4263338600965,3.33491548691124e-26
19.116440753857017,3.4656366144902154e-26
20.970464013232327,3.603422677361827e-26
23.004301197729184,3.749313845868169e-26
25.235391704347656,3.9040032489725573e-26
27.68286630392066,4.0677626101322346e-26
30.367711180354576,4.2419974230348525e-26
33.31294787934674,4.427494790725475e-26
36.54383070957256,4.6252051817024307e-26
40.088063288984635,4.836344575043637e-26
43.976036093027204,5.0612702992446684e-26
48.24108704165367,5.301596916157867e-26
52.91978735958442,5.558690876604685e-26
58.05225516094898,5.834381455390876e-26
63.68249944718586,6.131930158750719e-26
69.85879746785248,6.455218040847121e-26
76.63410868007459,6.807935007576791e-26
84.06652885618324,7.194920358106949e-26
92.21978823334325,7.622565432648745e-26
101.1637979766207,8.097967882814576e-26
110.97524964120721,8.626935046534548e-26
121.73827277396622,9.215205337034524e-26
133.5451562929899,9.868290852303054e-26
146.49713983072849,1.0590797255185678e-25
160.70528182616385,1.1386566709795768e-25
176.29141180959482,1.2254286423872953e-25
193.38917504552322,1.318931774159165e-25
212.14517849106295,1.4195377341133976e-25
232.72024789604066,1.52701609345603e-25
255.29080682395167,1.6406291292521708e-25
280.0503894183631,1.7578983541880454e-25
307.2112998861759,1.878874747510967e-25
337.0064329271928,2.0041416111578494e-25
369.6912707195028,2.133228605453098e-25
405.5460735840827,2.265614803729809e-25
444.87828311275854,2.4001828981151546e-25
488.02515836544336,2.5355400438036433e-25
535.3566677410724,2.6718781887026704e-25
587.2786613189483,2.80960663594142e-25
644.2363508721369,2.9491453244457797e-25
706.7181273927491,3.090347758601681e-25
775.2597488629464,3.2308939568997044e-25
850.4489341802679,3.373493322082886e-25
932.9304026284683,3.518682866321315e-25
1023.4114021054527,3.664516322171233e-25
1122.6677735108135,3.806229793756567e-25
1231.550603292826,3.9498718809598844e-25
1350.9935211980264,4.0969656024750107e-25
1482.020705798859,4.249169703687006e-25
